FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
ICS209_2019_10689697,2019,BURRIS,2019-10-27,300,Missing data/not specified/undetermined,Missing data/not specified/undetermined,703.0,E,39.25181699,-123.10065,7
W-735404,2019,GETTY,2019-10-28,301,Human,Missing data/not specified/undetermined,656.0,E,34.11039,-118.48328000000001,6
SFO-2019CACDFNEU002300,2019,CROWN,2019-09-20,263,Missing data/not specified/undetermined,Missing data/not specified/undetermined,640.0,E,39.366164000000005,-120.103531,8
FWS-2019USCALURL95Q,2019,STUHR,2019-06-07,158,Human,Recreation and ceremony,600.0,E,37.241547,-121.08443899999999,8
ICS209_2019_10755417,2019,MOUNTAIN,2019-08-22,234,Missing data/not specified/undetermined,Missing data/not specified/undetermined,600.0,E,40.710117,-122.25451699,8
FS-6964503,2019,JORDAN,2019-06-09,160,Natural,Natural,593.0,E,36.22722222,-118.30805556,7
ICS209_2019_10706161,2019,LINCOLN,2019-03-15,74,Missing data/not specified/undetermined,Missing data/not specified/undetermined,564.0,E,33.55,-116.08,8
ICS209_2019_10707553,2019,AMERICAN,2019-10-06,279,Missing data/not specified/undetermined,Missing data/not specified/undetermined,532.0,E,38.165873,-122.211671,5
W-729542,2019,JERRY,2019-06-21,172,Human,Missing data/not specified/undetermined,522.0,E,33.9242,-117.1105,5
SFO-2019CACDFRRU011865,2019,FLORENCIA,2019-09-14,257,Missing data/not specified/undetermined,Missing data/not specified/undetermined,503.0,E,33.992886999999996,-117.432156,5
W-734888,2019,SWEDES,2019-09-07,250,Human,Missing data/not specified/undetermined,496.0,E,39.4531,-121.4128,8
W-735543,2019,HILL,2019-10-30,303,Human,Missing data/not specified/undetermined,494.0,E,34.0192,-117.4736,5
SFO-2019CACDFMMU001706,2019,SHAFFER RD  ATWATER_CITY,2019-08-15,227,Missing data/not specified/undetermined,Missing data/not specified/undetermined,433.0,E,37.349216999999996,-120.595903,6
W-732333,2019,BARSTOW,2019-08-11,223,Human,Missing data/not specified/undetermined,420.0,E,34.601836999999996,-116.97938799999999,8
ICS209_2019_10731593,2019,REAL,2019-10-17,290,Missing data/not specified/undetermined,Missing data/not specified/undetermined,420.0,E,34.4847222,-120.19083329,6
FS-6939335,2019,EAST,2019-06-16,167,Natural,Natural,410.0,E,40.08388889,-123.06583333,8
SFO-2019CACDFRRU013019,2019,TOWN AND COUNTRY DR  NORC,2019-10-10,283,Missing data/not specified/undetermined,Missing data/not specified/undetermined,350.0,E,33.927613,-117.56113700000002,6
FS-6985001,2019,BRODER,2019-08-08,220,Natural,Natural,328.0,E,36.15805556,-118.1875,8
SFO-2019CACDFRRU013999,2019,CINNAMON TEAL DR  CYLK,2019-10-31,304,Missing data/not specified/undetermined,Missing data/not specified/undetermined,328.0,E,33.679278000000004,-117.247771,7
W-728625,2019,ALPAUGH,2019-05-24,144,Human,Missing data/not specified/undetermined,326.0,E,35.9278,-119.5008,7
ICS209_2019_10743441,2019,LAKE,2019-07-29,210,Missing data/not specified/undetermined,Missing data/not specified/undetermined,316.0,E,35.905,-120.9838889,4
FS-6957269,2019,MILL,2019-07-30,211,Human,Missing data/not specified/undetermined,311.0,E,36.00166667,-121.47083333,8
SFO-2019CACDFFKU019136,2019,,2019-09-04,247,Human,Missing data/not specified/undetermined,300.0,E,37.033333,-118.5,7
FS-6984986,2019,SCHAEFFER,2019-09-08,251,Natural,Natural,295.0,D,36.03888889,-118.38111111,8
FS-6972246,2019,RAMSHORN,2019-09-05,248,Natural,Natural,287.0,D,41.16666667,-122.62,6
SFO-2019CACDFSCU000461,2019,,2019-07-03,184,Missing data/not specified/undetermined,Missing data/not specified/undetermined,283.0,D,37.632106,-121.53863899999999,7
FS-6964334,2019,SNAIL,2019-09-01,244,Human,Equipment and vehicle use,279.0,D,34.71,-119.35472222,7
W-730743,2019,SNOWSTORM,2019-07-05,186,Natural,Natural,263.0,D,40.598825,-120.355526,5
W-734905,2019,R6 CREEK,2019-09-06,249,Natural,Natural,257.0,D,40.74,-120.6058,7
SFO-2019CACDFKRN192668,2019,,2019-07-02,183,Human,Power generation/transmission/distribution,249.0,D,35.633333,-118.95,8
FS-6967702,2019,HENTHORNE,2019-09-05,248,Natural,Natural,244.0,D,40.01111111,-123.15222222,8
W-731515,2019,MESA,2019-07-31,212,Human,Equipment and vehicle use,242.0,D,35.611784,-118.416652,7
SFO-2019CACDFSCU000573,2019,BAILEY AV /NB HWY 101,2019-08-03,215,Human,Arson/incendiarism,225.0,D,37.209773,-121.723009,8
ICS209_2019_10685153,2019,MOOSE,2019-08-12,224,Missing data/not specified/undetermined,Missing data/not specified/undetermined,225.0,D,38.997639,-123.20433200000001,8
